LANDING_TITLETEXT	Dax contra los Gremlins
ACTIVITIES_1_HUB_HUBACTIONS_0_HUBACTIONTEXT	Ver el video de nuevo
ACTIVITIES_1_HUB_HUBACTIONS_0_CONFIG_TITLETEXT	Cómo definir objetivos
ACTIVITIES_1_HUB_HUBACTIONS_1_HUBACTIONTEXT	Leer la historia de nuevo
ACTIVITIES_1_HUB_HUBACTIONS_1_CONFIG_TITLETEXT	Misión: Definir objetivos
ACTIVITIES_1_EXERCISES_0_TITLETEXT	Selecciona el <b>paso</b> para definir objetivos:
ACTIVITIES_1_EXERCISES_0_OPTIONS_0_SHORTTEXT	Elegir el mismo objetivo que un amigo
ACTIVITIES_1_EXERCISES_0_OPTIONS_0_ANSWERTEXT	Mmm... es posible que no tengas siempre los mismos objetivos que tu amigo.
ACTIVITIES_1_EXERCISES_0_OPTIONS_1_SHORTTEXT	Elegir un objetivo claro y realista
ACTIVITIES_1_EXERCISES_0_OPTIONS_1_ANSWERTEXT	Sí. Desafíate a ti mismo considerando tus limitaciones.
ACTIVITIES_1_EXERCISES_0_OPTIONS_2_SHORTTEXT	Comenzar a hacer algo y elegir la objetivo después
ACTIVITIES_1_EXERCISES_0_OPTIONS_2_ANSWERTEXT	Mmm... no creo que esa sea la mejor manera de definir un objetivo.
ACTIVITIES_1_EXERCISES_0_OPTIONS_3_SHORTTEXT	Elegir un objetivo que conduzca a la fama
ACTIVITIES_1_EXERCISES_0_OPTIONS_3_ANSWERTEXT	Mmm... no estoy seguro de que eso sea clave para definir objetivos.
ACTIVITIES_1_EXERCISES_1_TITLETEXT	Selecciona el <b>paso</b> para definir objetivos:
ACTIVITIES_1_EXERCISES_1_OPTIONS_0_SHORTTEXT	Definir un punto que marque el alcance del objetivo
ACTIVITIES_1_EXERCISES_1_OPTIONS_0_ANSWERTEXT	¡Exactamente! Elige un plazo.
ACTIVITIES_1_EXERCISES_1_OPTIONS_1_SHORTTEXT	Es mejor no marcar un punto de alcance del objetivo
ACTIVITIES_1_EXERCISES_1_OPTIONS_1_ANSWERTEXT	Mmm... estoy bastante seguro de que un punto de alcance es un paso importante.
ACTIVITIES_1_EXERCISES_1_OPTIONS_2_SHORTTEXT	Una vez que se marca el punto de alcance este no se puede cambiar
ACTIVITIES_1_EXERCISES_1_OPTIONS_2_ANSWERTEXT	Mmm... el punto de alcance se puede modificar casi todo el tiempo.
ACTIVITIES_1_EXERCISES_1_OPTIONS_3_SHORTTEXT	Establecer siempre el punto de alcance en una ocasión especial
ACTIVITIES_1_EXERCISES_1_OPTIONS_3_ANSWERTEXT	Mmm... no siempre; depende del objetivo.
ACTIVITIES_1_EXERCISES_2_TITLETEXT	Selecciona el <b>paso</b> para definir objetivos:
ACTIVITIES_1_EXERCISES_2_OPTIONS_0_SHORTTEXT	No hacer un plan para alcanzar el objetivo
ACTIVITIES_1_EXERCISES_2_OPTIONS_0_ANSWERTEXT	Mmm... estoy bastante seguro de que para cualquier objetivo es necesario un plan.
ACTIVITIES_1_EXERCISES_2_OPTIONS_1_SHORTTEXT	Dividir el objetivo en pasos
ACTIVITIES_1_EXERCISES_2_OPTIONS_1_ANSWERTEXT	¡Correcto! Dividir tu objetivo en pasos te permitirá contar con un plan.
ACTIVITIES_1_EXERCISES_2_OPTIONS_2_SHORTTEXT	Alcanzar el objetivo lo más rápido posible
ACTIVITIES_1_EXERCISES_2_OPTIONS_2_ANSWERTEXT	Mmm... algunos objetivos requieren más tiempo que otros.
ACTIVITIES_1_EXERCISES_2_OPTIONS_3_SHORTTEXT	Omitir pasos que sean demasiado difíciles
ACTIVITIES_1_EXERCISES_2_OPTIONS_3_ANSWERTEXT	Mmm... omitir un paso difícil no te acercará más a tu objetivo.
ACTIVITIES_1_EXERCISES_3_TITLETEXT	Selecciona el <b>paso</b> para definir objetivos:
ACTIVITIES_1_EXERCISES_3_OPTIONS_0_SHORTTEXT	Pensar en las razones por las que el objetivo es importante para el profesor
ACTIVITIES_1_EXERCISES_3_OPTIONS_0_ANSWERTEXT	Mmm... no todos tus objetivos implicarán a tu profesor.
ACTIVITIES_1_EXERCISES_3_OPTIONS_1_SHORTTEXT	Pensar en todas las maneras en que no se alcanzaría un objetivo
ACTIVITIES_1_EXERCISES_3_OPTIONS_1_ANSWERTEXT	Mmm... no creo que esto podría ser útil.
ACTIVITIES_1_EXERCISES_3_OPTIONS_2_SHORTTEXT	Reflexionar sobre la importancia del objetivo
ACTIVITIES_1_EXERCISES_3_OPTIONS_2_ANSWERTEXT	¡Correcto! Esto te ayudará a permanecer motivado durante el proceso.
ACTIVITIES_1_EXERCISES_3_OPTIONS_3_SHORTTEXT	No pensar en el objetivo porque da mala suerte
ACTIVITIES_1_EXERCISES_3_OPTIONS_3_ANSWERTEXT	Mmm... no tengo la seguridad de que la suerte tenga importancia en este caso.
ACTIVITIES_1_SUMMARY_TITLETEXT	A continuación, se muestran pasos para definir objetivos:
ACTIVITIES_1_SUMMARY_IMAGE_TITLETEXT	¡Despeje profundo!
ACTIVITIES_1_SUMMARY_IMAGE_SUBTITLETEXT	Dax se deshizo del Embrollón al visualizar con claridad su objetivo: aprender a hacer una voltereta lateral perfecta.
ACTIVITIES_2_LANDING_TITLETEXT	Grappling with Gremlins
ACTIVITIES_2_LANDING_CONFIG_SPEECHBUBBLE_0_BUBBLETEXT	¡Se acercan más gremlins frustraobjetivos!
ACTIVITIES_2_LANDING_CONFIG_SPEECHBUBBLE_1_BUBBLETEXT	Ayuda a Dax a vencer a estos otros gremlins astutos.
ACTIVITIES_2_LANDING_CONFIG_SPEECHBUBBLE_2_BUBBLETEXT	Ayuda a Dax a vencer a estos otros gremlins astutos.
ACTIVITIES_2_LANDING_DESCRIPTIONTEXT	Identifica obstáculos que impiden definir objetivos y maneras de superarlos.
ACTIVITIES_2_LANDING_DESCRIPTIONALTTEXT	Identifica obstáculos que impiden definir objetivos y maneras de superarlos.
ACTIVITIES_2_LANDING_CTATEXT	Iniciar actividad
ACTIVITIES_2_HUB_TITLETEXT	¡Hay más gremlins rodeando el parque!
ACTIVITIES_2_HUB_DESCRIPTIONTEXT	Ayuda a Dax a identificarlos y ahuyentarlos en la próxima misión.
ACTIVITIES_2_HUB_ACTIVITIES_0_TITLETEXT	Objetivos y gremlins
ACTIVITIES_2_HUB_ACTIVITIES_1_TITLETEXT	Objetivos bien claros
ACTIVITIES_2_HUB_ACTIVITIES_2_TITLETEXT	Combatir contra los gremlins
ACTIVITIES_2_HUB_ACTIVITIES_3_TITLETEXT	Observar objetivos
ACTIVITIES_2_HUB_ACTIVITIES_4_TITLETEXT	Objetivos soñados
ACTIVITIES_2_HUB_HUBACTIONS_0_HUBACTIONTEXT	Ver el video de nuevo
ACTIVITIES_2_HUB_HUBACTIONS_0_CONFIG_TITLETEXT	Cómo definir objetivos
ACTIVITIES_2_HUB_HUBACTIONS_1_HUBACTIONTEXT	Leer la historia de nuevo
ACTIVITIES_2_HUB_HUBACTIONS_1_CONFIG_TITLETEXT	Misión: Definir objetivos
ACTIVITIES_2_EXERCISES_0_TITLETEXT	¡<b>Distractor</b> se aproxima! ¿Qué podría distraer a alguien y evitar <b>que lea un libro en capítulos en un mes?</b>
ACTIVITIES_2_EXERCISES_0_QUESTIONTEXT	Objectivo: Comenzar a jugar a un nuevo videojuego
ACTIVITIES_2_EXERCISES_0_HIDEQUESTIONTEXT	TRUE
ACTIVITIES_2_EXERCISES_0_CONFIG_PREPENDQUESTIONTEXT	Distractor:
ACTIVITIES_2_EXERCISES_0_OPTIONS_0_SHORTTEXT	Comenzar a jugar a un nuevo videojuego
ACTIVITIES_2_EXERCISES_0_OPTIONS_0_ANSWERTEXT	¡Bien! Posiblemente sea demasiado tentador pasar tiempo jugando en lugar de leer.
ACTIVITIES_2_EXERCISES_0_OPTIONS_1_SHORTTEXT	Dejar un tiempo determinado para leer todos los días
ACTIVITIES_2_EXERCISES_0_OPTIONS_1_ANSWERTEXT	Mmm... esto parece un buen plan, no una distracción.
ACTIVITIES_2_EXERCISES_0_OPTIONS_2_SHORTTEXT	Definir un plan de lectura de por lo menos 5 páginas por día
ACTIVITIES_2_EXERCISES_0_OPTIONS_2_ANSWERTEXT	Mmm... estoy bastante seguro de que esto es una buena idea, pero no una distracción.
ACTIVITIES_2_EXERCISES_0_OPTIONS_3_SHORTTEXT	Leer junto a un amigo 2 días a la semana
ACTIVITIES_2_EXERCISES_0_OPTIONS_3_ANSWERTEXT	Mmm... esta parece una manera de alcanzar el objetivo.
ACTIVITIES_2_EXERCISES_1_TITLETEXT	¡Aquí está <b>Vendaval de Excusas</b>! ¿Con qué excusa mala se podría evitar que alguien <b>practique tenis 3 veces a la semana?</b>
ACTIVITIES_2_EXERCISES_1_QUESTIONTEXT	Objetivo: practicar tenis 3 veces a la semana
ACTIVITIES_2_EXERCISES_1_HIDEQUESTIONTEXT	TRUE
ACTIVITIES_2_EXERCISES_1_CONFIG_PREPENDQUESTIONTEXT	Vendaval de Excusas: 
ACTIVITIES_2_EXERCISES_1_OPTIONS_0_SHORTTEXT	La cancha de tenis está cerrada por reparaciones.
ACTIVITIES_2_EXERCISES_1_OPTIONS_0_ANSWERTEXT	Mmm... esto parece más un aspecto fuera de tu control que una mala excusa.
ACTIVITIES_2_EXERCISES_1_OPTIONS_1_SHORTTEXT	Me torcí el tobillo. Debería hacer reposo hasta sentirme mejor.
ACTIVITIES_2_EXERCISES_1_OPTIONS_1_ANSWERTEXT	Mmm... esa parece una buena razón para hacer reposo.
ACTIVITIES_2_EXERCISES_1_OPTIONS_2_SHORTTEXT	No tiene sentido practicar a menos que sea todos los días.
ACTIVITIES_2_EXERCISES_1_OPTIONS_2_ANSWERTEXT	¡Sí! Practicar 3 veces a la semana es mejor que no hacerlo.
ACTIVITIES_2_EXERCISES_1_OPTIONS_3_SHORTTEXT	Hoy hay un viaje escolar, practicaré el fin semana.
ACTIVITIES_2_EXERCISES_1_OPTIONS_3_ANSWERTEXT	Mmm... parece más un buen plan que una mala excusa.
ACTIVITIES_2_EXERCISES_2_TITLETEXT	¡<b>Procrastinator</b> está aquí! ¿Qué podría evitar que alguien parta a tiempo <b>rumbo a la escuela?</b>
ACTIVITIES_2_EXERCISES_2_QUESTIONTEXT	Objectivo: Leave for school on time
ACTIVITIES_2_EXERCISES_2_HIDEQUESTIONTEXT	TRUE
ACTIVITIES_2_EXERCISES_2_CONFIG_PREPENDQUESTIONTEXT	Procrastinator:
ACTIVITIES_2_EXERCISES_2_OPTIONS_0_SHORTTEXT	Preparar la mochila antes de ir a dormir
ACTIVITIES_2_EXERCISES_2_OPTIONS_0_ANSWERTEXT	Mmm... esto parece más un aspecto fuera de tu control que una mala excusa.
ACTIVITIES_2_EXERCISES_2_OPTIONS_1_SHORTTEXT	Ver un episodio más de dibujos animados
ACTIVITIES_2_EXERCISES_2_OPTIONS_1_ANSWERTEXT	¡Por supuesto! Más tiempo frente a la pantalla puede implicar llegar tarde.
ACTIVITIES_2_EXERCISES_2_OPTIONS_2_SHORTTEXT	Levantarse de inmediato al despertar
ACTIVITIES_2_EXERCISES_2_OPTIONS_2_ANSWERTEXT	Hmm...pretty sure that would help someone leave on time.
ACTIVITIES_2_EXERCISES_2_OPTIONS_3_SHORTTEXT	Esperar hasta después de la escuela para jugar con los juguetes Lego
ACTIVITIES_2_EXERCISES_2_OPTIONS_3_ANSWERTEXT	Hmm...sounds like a good idea if they want to leave on time.
ACTIVITIES_2_EXERCISES_3_TITLETEXT	¡ENTRA EN ACCIÓN!
ACTIVITIES_2_EXERCISES_3_SUBTITLETEXT	¡Ahora ayuda a Dax a vencer a los gremlins y mantener a salvo su objetivo!
ACTIVITIES_2_EXERCISES_4_TITLETEXT	Dax necesita practicar. Elige <b>2 maneras</b> en las que puede derrotar a Distractor.
ACTIVITIES_2_EXERCISES_4_QUESTIONTEXT	2 maneras en las que Dax puede derrotar a Distractor
ACTIVITIES_2_EXERCISES_4_HIDEQUESTIONTEXT	TRUE
ACTIVITIES_2_EXERCISES_4_OPTIONS_0_SHORTTEXT	Si se distrae, su objetivo no debe ser realmente importante.
ACTIVITIES_2_EXERCISES_4_OPTIONS_0_ANSWERTEXT	Mmm... las distracciones pueden interponerse ante cualquier objetivo.
ACTIVITIES_2_EXERCISES_4_OPTIONS_1_SHORTTEXT	Mantenerse al margen de distracciones mientras hace volteretas laterales.
ACTIVITIES_2_EXERCISES_4_OPTIONS_1_ANSWERTEXT	¡Excelente!
ACTIVITIES_2_EXERCISES_4_OPTIONS_2_SHORTTEXT	Asignar un tiempo determinado a la práctica de volteretas laterales y tomar descansos breves.
ACTIVITIES_2_EXERCISES_4_OPTIONS_2_ANSWERTEXT	¡Excelente! Los descansos breves pueden ayudar a Dax a enfocarse al no haber distracciones.
ACTIVITIES_2_EXERCISES_4_OPTIONS_3_SHORTTEXT	Ceder ante la distracción para que no la molesten más.
ACTIVITIES_2_EXERCISES_4_OPTIONS_3_ANSWERTEXT	Mmm... estoy bastante seguro de que eso significa dejar que Distractor gane.
ACTIVITIES_2_EXERCISES_5_TITLETEXT	Elige <b>2 maneras</b> en que Dax puede evitar que Vendaval de Excusas afecte su concentración.
ACTIVITIES_2_EXERCISES_5_QUESTIONTEXT	Elige 2 maneras en que Dax puede evitar que Vendaval de Excusas afecte su concentración.
ACTIVITIES_2_EXERCISES_5_HIDEQUESTIONTEXT	TRUE
ACTIVITIES_2_EXERCISES_5_OPTIONS_0_SHORTTEXT	Ignorar las excusas y practicar sus volteretas laterales.
ACTIVITIES_2_EXERCISES_5_OPTIONS_0_ANSWERTEXT	¡Excelente idea! La mayoría de las excusas se esfumarán si se ignoran.
ACTIVITIES_2_EXERCISES_5_OPTIONS_1_SHORTTEXT	Usar tapaorejas para no escuchar las excusas
ACTIVITIES_2_EXERCISES_5_OPTIONS_1_ANSWERTEXT	Mmm... estoy bastante seguro de que los tapaorejas solo mantendrán calientes sus orejas.
ACTIVITIES_2_EXERCISES_5_OPTIONS_2_SHORTTEXT	Escuchar las excusas y abandonar las volteretas laterales.
ACTIVITIES_2_EXERCISES_5_OPTIONS_2_ANSWERTEXT	Mmm... estoy bastante seguro de que eso significa dejar que Vendaval de Excusas gane.
ACTIVITIES_2_EXERCISES_5_OPTIONS_3_SHORTTEXT	Pensar en su sueño olímpico para aplacar las excusas.
ACTIVITIES_2_EXERCISES_5_OPTIONS_3_ANSWERTEXT	¡Buen plan! Al pensar en su objetivo a largo plazo acabará con las excusas.
ACTIVITIES_2_EXERCISES_6_TITLETEXT	Pick <b>2 ways</b> that Dax can outsmart the Procrastinator and meet her goal on time.
ACTIVITIES_2_EXERCISES_6_QUESTIONTEXT	2 maneras en las que Dax puede vencer a Procrastinator
ACTIVITIES_2_EXERCISES_6_HIDEQUESTIONTEXT	TRUE
ACTIVITIES_2_EXERCISES_6_OPTIONS_0_SHORTTEXT	Saltearse las volteretas laterales hoy, pero hacer más la próxima vez.
ACTIVITIES_2_EXERCISES_6_OPTIONS_0_ANSWERTEXT	Mmm... omitir la práctica sin motivos puede alejar a Dax de su objetivo.
ACTIVITIES_2_EXERCISES_6_OPTIONS_1_SHORTTEXT	Hacer un seguimiento de cada práctica; por ejemplo, con una calcomanía o un calendario.
ACTIVITIES_2_EXERCISES_6_OPTIONS_1_ANSWERTEXT	¡Fantástico! Al ver su progreso, no querrá omitir la práctica.
ACTIVITIES_2_EXERCISES_6_OPTIONS_2_SHORTTEXT	Si pospone la práctica hoy, logrará mejores volteretas mañana.
ACTIVITIES_2_EXERCISES_6_OPTIONS_2_ANSWERTEXT	Mmm... no creo que sus volteretas laterales mejoren si no las practica.
ACTIVITIES_2_EXERCISES_6_OPTIONS_3_SHORTTEXT	Definir determinados momentos para practicar las volteretas laterales; por ejemplo, después del almuerzo.
ACTIVITIES_2_EXERCISES_6_OPTIONS_3_ANSWERTEXT	Sí. Es una buena manera de mantener la concentración y vencer a la procrastinación.
ACTIVITIES_2_SUMMARY_IMAGE_TITLETEXT	¡Éxito!
ACTIVITIES_2_SUMMARY_IMAGE_SUBTITLETEXT	Dax se libró de esos gremlins molestos y logró avanzar.
ACTIVITIES_2_SUMMARY_TITLETEXT	A continuación, se muestran obstáculos y forma de superarlos:
ACTIVITIES_3_LANDING_TITLETEXT	Observar objetivos
ACTIVITIES_3_LANDING_CONFIG_SPEECHBUBBLE_0_BUBBLETEXT	¡No dejes que Vampiro arrebate a Dax el deseo de hacer volteretas laterales!
ACTIVITIES_3_LANDING_CONFIG_SPEECHBUBBLE_1_BUBBLETEXT	¡No dejes que Vampiro arrebate a Dax el deseo de hacer volteretas laterales!
ACTIVITIES_3_LANDING_CONFIG_SPEECHBUBBLE_2_BUBBLETEXT	Estoy cansada de hacer volteretas laterales. ¿Por qué me esfuerzo tanto?
ACTIVITIES_3_LANDING_CONFIG_SPEECHBUBBLE_3_BUBBLETEXT	Estoy cansada de hacer volteretas laterales. ¿Por qué me esfuerzo tanto?
ACTIVITIES_3_LANDING_DESCRIPTIONTEXT	Piensa en un objetivo que hayas definido y en los motivos por los que es importante.
ACTIVITIES_3_LANDING_DESCRIPTIONALTTEXT	Piensa en un objetivo que hayas definido y en los motivos por los que es importante.
ACTIVITIES_3_LANDING_CTATEXT	Iniciar actividad
ACTIVITIES_3_HUB_TITLETEXT	¡Oh! Algo raro y escalofriante se acerca volando.
ACTIVITIES_3_HUB_DESCRIPTIONTEXT	Ayuda a Dax a ser más ingeniosa y mantenerse motivada.
ACTIVITIES_3_HUB_ACTIVITIES_0_TITLETEXT	Objetivos y gremlins
ACTIVITIES_3_HUB_ACTIVITIES_1_TITLETEXT	Objetivos bien claros
ACTIVITIES_3_HUB_ACTIVITIES_2_TITLETEXT	Combatir contra los gremlins
ACTIVITIES_3_HUB_ACTIVITIES_3_TITLETEXT	Observar objetivos
ACTIVITIES_3_HUB_ACTIVITIES_4_TITLETEXT	Objetivos soñados
ACTIVITIES_3_HUB_HUBACTIONS_0_HUBACTIONTEXT	Ver el video de nuevo
ACTIVITIES_3_HUB_HUBACTIONS_0_CONFIG_TITLETEXT	Cómo definir objetivos
ACTIVITIES_3_HUB_HUBACTIONS_1_HUBACTIONTEXT	Leer la historia de nuevo
ACTIVITIES_3_HUB_HUBACTIONS_1_CONFIG_TITLETEXT	Misión: Definir objetivos
ACTIVITIES_3_EXERCISES_0_TITLETEXT	Elige un <b>1 objetivo</b> de: <b>mis objetivos</b>
ACTIVITIES_3_EXERCISES_1_TITLETEXT	¿Qué te mantendrá motivado para alcanzar tu objetivo?
ACTIVITIES_3_EXERCISES_1_CONFIG_TOOLTIPTOGGLE_LABELTEXT	¿No estás seguro de lo que escribirás? Prueba con algunos generadores de ideas.
ACTIVITIES_3_EXERCISES_1_CONFIG_TOOLTIPTOGGLE_TOOLTIPTEXT	¿Tu objetivo está escrito en algún lugar en el que puedas verlo?<br/>¿Imaginas lo que sentirás cuando alcances tu objetivo?<br/>¿Qué sucede cuando piensas en los motivos por los que deseas alcanzar este objetivo?
ACTIVITIES_3_EXERCISES_1_CONFIG_PLACEHOLDERTEXT	Agrega tu respuesta aquí para continuar.
ACTIVITIES_3_EXERCISES_1_VARIANTCONFIG_REPLACE_TITLETEXT	¿Qué te mantuvo motivado para alcanzar tu objetivo?
ACTIVITIES_3_EXERCISES_1_VARIANTCONFIG_REPLACE_CONFIG_TOOLTIPTOGGLE_TOOLTIPTEXT	¿Tu objetivo estuvo escrito en algún lugar en el que pudieras verlo?<br/>¿Imaginaste lo que sentirías al alcanzar tu objetivo?<br/>¿Pensaste en los motivos por los que deseabas alcanzar este objetivo?
ACTIVITIES_3_EXERCISES_2_TITLETEXT	¡ESTÁ FUNCIONANDO!
ACTIVITIES_3_EXERCISES_2_SUBTITLETEXT	¡Vampiro está perdiendo fuerza!
ACTIVITIES_3_EXERCISES_3_TITLETEXT	¿Qué clase de ayuda necesitarás para alcanzar tu objetivo?
ACTIVITIES_3_EXERCISES_3_CONFIG_TOOLTIPTOGGLE_LABELTEXT	¿No estás seguro de lo que escribirás? Prueba con algunos generadores de ideas.
ACTIVITIES_3_EXERCISES_3_CONFIG_TOOLTIPTOGGLE_TOOLTIPTEXT	¿Necesitarás reservar tiempo para hablar con una persona determinada?<br/>¿Tendrás que conseguir equipos o materiales?<br/>¿Tendrás que encontrar un momento o un lugar para trabajar en una nueva aptitud?
ACTIVITIES_3_EXERCISES_3_CONFIG_PLACEHOLDERTEXT	Agrega tu respuesta aquí para continuar.
ACTIVITIES_3_EXERCISES_3_VARIANTCONFIG_REPLACE_TITLETEXT	¿Qué ayuda tú necesitaste para alcanzar tu objetivo?
